Ticker,Mean Gamma Estimate,Median CI Upper Bound,Median CI Lower Bound,25th Percentile Gamma Estimate,50th Percentile Gamma Estimate,75th Percentile Gamma Estimate,Positive Gamma Days (%),Full Model Significant Days (%),Gamma Significant Days (%),Positive Gamma Significant Days (%),Negative Gamma Significant Days (%)
ABBN,6.384514967339808e-11,7.918467600257809e-11,2.7059131985827376e-11,3.0810090242946534e-11,5.7965090936318206e-11,7.698502473535158e-11,100.0,6.779661016949152,89.83050847457628,100.0,0.0
CLN,7.586624601437528e-10,6.611957372547452e-10,7.14843378586394e-11,2.139070762423852e-10,3.413054070680698e-10,6.245205255193359e-10,100.0,1.694915254237288,66.10169491525424,100.0,0.0
DOKA,1.675056530685856e-07,1.4927467702627968e-07,9.9667241095058e-09,5.121986594377677e-08,7.251144161155243e-08,1.4009531849356748e-07,100.0,5.084745762711865,61.016949152542374,100.0,0.0
GIVN,1.786179704780045e-08,2.1285796027385803e-08,3.0198026229248837e-09,5.722100038766614e-09,1.1814129603595541e-08,2.237156672220549e-08,100.0,5.660377358490567,73.58490566037736,100.0,0.0
KUD,4.370480102807756e-06,5.927785245638532e-07,-2.0871972671200657e-07,2.9713808337511533e-08,1.200925802732316e-07,4.947796587118171e-07,83.05084745762711,8.47457627118644,20.33898305084746,100.0,0.0
LISN,1.1828009174316283e-05,1.2410558528035324e-05,1.4216834223694966e-06,2.9417651782341305e-06,7.729151306035011e-06,1.2829099802394764e-05,100.0,0.0,71.1864406779661,100.0,0.0
LONN,1.5530942590732113e-09,1.2011271702840002e-09,3.6351674697442266e-10,4.932417953836405e-10,7.591466408362583e-10,1.3088005052445205e-09,100.0,5.454545454545454,85.45454545454545,100.0,0.0
NESN,3.362633685647228e-11,3.528532505557162e-11,1.3900537857544447e-11,1.444124761502692e-11,2.4990491749677694e-11,3.82097244367132e-11,98.18181818181819,9.090909090909092,94.54545454545455,100.0,0.0
SCHN,3.166629842576196e-08,2.9766130551047685e-08,6.047591569901451e-09,9.82015654624072e-09,1.5876046317497083e-08,3.013803367652575e-08,100.0,5.454545454545454,83.63636363636363,100.0,0.0
SCMN,3.673871810585078e-09,3.580228345948555e-09,1.2988319004808483e-09,1.3460545744106772e-09,2.2177550214459917e-09,3.503797796922968e-09,100.0,3.4482758620689653,87.93103448275862,100.0,0.0
SIKA,6.916960938271624e-10,7.591108335781121e-10,2.82739193609036e-10,3.9254421863100203e-10,5.471621956049752e-10,8.000208877881955e-10,100.0,6.896551724137931,93.10344827586206,100.0,0.0
SRENH,2.6447308485115827e-10,2.871581277865329e-10,1.0568860679822988e-10,1.347010091113715e-10,1.8758334630877587e-10,2.834257972897344e-10,100.0,8.47457627118644,94.91525423728814,100.0,0.0
UBSG,3.745429391590349e-11,4.7027429916575566e-11,2.144588525928405e-11,2.2871371527561685e-11,3.45388913859481e-11,4.6117660379658864e-11,100.0,8.47457627118644,96.61016949152543,100.0,0.0
UHR,1.4696239826108772e-09,1.5930238074891761e-09,2.817733997610852e-10,5.319283061228214e-10,8.617114154271566e-10,2.023613879315811e-09,100.0,8.620689655172415,94.82758620689656,100.0,0.0
VLRT,0.014212910158319016,0.0026701046974715002,-0.0011052043008342501,1.3352190875535104e-05,8.565379656097743e-05,0.0156995782937541,65.625,0.0,3.125,100.0,0.0
